,FundingRate,LongPct,LongShortRatio,ShortPct,etf_flow_proxy,FundingRate_EMA3,FundingRate_Pct90d
2023-08-01,7.689333333333333e-05,,,,8029000.0,7.616196016462312e-05,0.6608024691358024
2023-08-02,0.0001,,,,7107600.0,9.999473665616672e-05,0.8768518518518519
2023-08-03,0.0001,,,,4353400.0,9.999999999968628e-05,0.8364197530864197
2023-08-04,9.372e-05,,,,3821500.0,9.372001193135977e-05,0.721604938271605
2023-08-05,8.060333333333333e-05,,,,3821500.0,8.06033582536635e-05,0.5830246913580247
2023-08-06,0.0001,,,,3821500.0,9.999996314831227e-05,0.7763888888888889
2023-08-07,9.223e-05,,,,4344900.0,9.223377912521143e-05,0.6342592592592592
2023-08-08,8.360000000000001e-05,,,,10434400.0,8.528102006934758e-05,0.4398148148148148
2023-08-09,8.838e-05,,,,7128000.0,8.716206859192372e-05,0.4177469135802469
2023-08-10,9.378875e-05,,,,4327600.0,9.40369945739201e-05,0.5909722222222222
2023-08-11,9.041000000000001e-05,,,,3774600.0,9.088895506503152e-05,0.513888888888889
2023-08-12,9.768333333333333e-05,,,,3774600.0,9.677771812750628e-05,0.5470679012345679
2023-08-13,8.212333333333333e-05,,,,3774600.0,8.184357587502708e-05,0.4626543209876543
2023-08-14,0.0001,,,,4633700.0,9.999130523921505e-05,0.6814814814814815
2023-08-15,0.0001,,,,6533500.0,9.999999999948176e-05,0.6725308641975308
2023-08-16,0.0001,,,,5025200.0,9.999999999999999e-05,0.657716049382716
2023-08-17,0.0001,,,,15669800.0,9.999999999999999e-05,0.6518518518518519
2023-08-18,5.04e-05,,,,19678600.0,5.242258586883545e-05,0.24382716049382716
2023-08-19,-1.9606666666666666e-05,,,,19678600.0,-1.5268165735696604e-05,0.010185185185185184
2023-08-20,-2.542e-05,,,,19678600.0,-2.7527222908303085e-05,0.07932098765432098
2023-08-21,-1.2e-05,,,,7225400.0,-1.1416554201079781e-05,0.15833333333333333
2023-08-22,2.706666666666667e-06,,,,5549500.0,7.741123338855785e-07,0.2274691358024691
2023-08-23,9.886666666666666e-06,,,,12893900.0,9.802595055720946e-06,0.32623456790123456
2023-08-24,1.528e-05,,,,5186300.0,1.4588246461878917e-05,0.3680555555555556
2023-08-25,2.4536666666666665e-05,,,,8841100.0,2.440419061637897e-05,0.4743827160493827
2023-08-26,3.75e-05,,,,8841100.0,3.8791618584023355e-05,0.6027777777777777
2023-08-27,1.769e-05,,,,8841100.0,1.8050819044582165e-05,0.5435185185185185
2023-08-28,2.646041666666667e-05,,,,5165200.0,2.5093578303356115e-05,0.6027006172839506
2023-08-29,-2.1136666666666664e-05,,,,58284700.0,-1.4720132122372885e-05,0.4368827160493827
2023-08-30,4.847666666666666e-05,,,,20488100.0,4.2298509381306246e-05,0.8837962962962963
2023-08-31,5.9576666666666675e-05,,,,21074400.0,5.7847872399822444e-05,0.8663580246913579
2023-09-01,4.9230833333333336e-05,,,,9382800.0,5.0000982624811274e-05,0.7872685185185185
2023-09-02,1.639e-05,,,,9382800.0,1.9829257625921524e-05,0.3904320987654321
2023-09-03,2.6546666666666668e-05,,,,9382800.0,2.4512415521125454e-05,0.45092592592592595
2023-09-04,1.0333333333333333e-05,,,,9382800.0,1.1970335461517106e-05,0.24166666666666667
2023-09-05,1.798e-05,,,,3843200.0,1.6142648595467338e-05,0.3439814814814815
2023-09-06,1.6558333333333335e-06,,,,8771600.0,2.182389115352348e-06,0.2527006172839506
2023-09-07,4.879e-05,,,,4175300.0,4.67836178977473e-05,0.749537037037037
2023-09-08,-9.013333333333332e-06,,,,4217600.0,-5.4322727949002646e-06,0.14552469135802468
2023-09-09,-1.337e-05,,,,4217600.0,-1.4660967771049705e-05,0.19984567901234565
2023-09-10,1.9433333333333332e-05,,,,4217600.0,1.8935113769314618e-05,0.4680555555555555
2023-09-11,1.1197083333333333e-05,,,,10778900.0,1.1519489125839696e-05,0.38912037037037034
2023-09-12,1.551e-05,,,,8113200.0,1.7720425280624972e-05,0.5453703703703704
2023-09-13,2.2336666666666666e-05,,,,6952400.0,1.9603748895054577e-05,0.6058641975308642
2023-09-14,-4.099583333333334e-06,,,,7934800.0,-8.462560588122075e-07,0.39729938271604937
