date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2025-05-27,633358.5255411002,852722089.09428,121658450774824.53,883045424.851585,0.39987523932344116
2025-05-28,867462.2414546999,991818600.0812899,121658450774824.47,892984797.9390547,1.5635901350517045
2025-05-29,566762.9540955998,961580228.1275918,121658450774824.48,899918387.1400931,0.051366984743187453
2025-05-30,622022.3958603998,937389530.5646338,121658450774824.48,909353570.249614,0.32194111746165094
2025-05-31,419534.49353160005,1016284104.8877773,126982285146988.45,920994043.4500214,-0.6899810735671287
2025-06-01,363769.4805422,839539043.1681639,126982285146988.55,910980885.7263324,-0.9541175433522512
2025-06-02,499806.63066120003,839539043.1681639,126982285146988.55,910039239.5887526,-0.27896124657952537
2025-06-03,508470.03912729985,908974603.1294405,126982285146988.5,911033439.11018,-0.2399398431569785
2025-06-04,496235.1862085999,795352777.73826,126982285146988.58,905639700.9295915,-0.3026003059592883
2025-06-05,506746.2234307999,845851366.801007,126982285146988.53,901261144.3717394,-0.2503012103391492
2025-06-06,460534.6992896,845851366.801007,126982285146988.53,894722704.102909,-0.48787123905113366
2025-06-07,345801.8546332,902662279.4965969,126982285146988.5,898289860.5602175,-1.0608108334949593
2025-06-08,335156.9307199001,965785515.8250304,126982285146988.47,902046052.190457,-1.1036422038289815
2025-06-09,535624.7926309,883725308.5980667,126982285146988.52,899076846.9629506,-0.1058100908532315
2025-06-10,585255.5890405998,1066782693.9505239,126982285146988.42,914366890.1669682,0.13390973041589935
2025-06-11,521050.4826344001,890037632.2309102,126982285146988.52,907096821.034798,-0.1901163137589586
2025-06-12,522331.18482560024,934223897.6608136,126982285146988.48,905142797.4300282,-0.18772254828409887
2025-06-13,695983.8000974999,915286926.7622839,126982285146988.5,903564040.0155747,0.6676389805537014
2025-06-14,323387.4732385,949216466.5546213,126456802831653.22,898773494.4203492,-1.1965994706010634
2025-06-15,279163.9849396,854616743.0404905,126411437451912.0,899850472.9826583,-1.4015850336257443
2025-06-16,528005.8329406,917456209.4405266,126411437451912.0,905415984.8592557,-0.17447597446266203
2025-06-17,662702.1111968999,741505703.5204258,126411437451912.0,893453920.6014689,0.48634256916887725
2025-06-18,731544.3573622007,879752529.6005048,126411437451912.0,899482474.3059149,0.8136305152004734
2025-06-19,531498.8395316002,798061223.2804582,126411437451912.0,896068892.6258757,-0.18981683662981488
2025-06-20,551551.1783548995,948875942.6405447,126411437451912.0,903427790.9001284,-0.07502702441557366
2025-06-21,366032.1573706999,886036476.2405084,126411437451912.0,902240233.5246935,-0.9979156689848777
2025-06-22,281784.87487829,672382290.480386,126411437451912.0,881282860.2857903,-1.3908989919942407
2025-06-23,500511.41322129994,672382290.480386,126411437451912.0,866186930.4202417,-0.28324278769852773
2025-06-24,650303.8123115003,735221756.880422,126411437451912.0,842504006.3438059,0.5174514874875031
2025-06-25,515300.35969530005,898604369.5205159,126411437451912.0,843115916.1502063,-0.2000518241920664
2025-06-26,814808.0701758,986579622.4805663,126411437451912.0,846855610.7801886,1.3549550207883103
2025-06-27,475865.85564289987,722653863.6004148,126411437451912.0,833096106.2686265,-0.43098151345563757
2025-06-28,416662.6058298999,911172262.800523,126411437451912.0,830378663.1433338,-0.7601830417025673
