date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-08-29 00:00:00,595979.0,348324.0,1.5111002727272735,36.95,38.98
2025-08-29 05:45:00,,1401596.5,,,
2025-08-29 11:30:00,,540364.0,,,
2025-08-29 17:15:00,,783712.5,,,
2025-08-29 23:00:00,,550235.5,,,
2025-08-30 00:00:00,628356.0,,1.4566713734177217,38.98,38.85
2025-08-30 04:45:00,,250497.0,,,
2025-08-30 10:30:00,,358374.0,,,
2025-08-30 16:15:00,,458228.5,,,
2025-08-30 22:00:00,,1689988.0,,,
2025-08-31 00:00:00,472742.0,,1.3953556818181816,38.85,39.62
2025-08-31 03:45:00,,224702.0,,,
2025-08-31 09:30:00,,1713016.0,,,
2025-08-31 15:15:00,,796505.5,,,
2025-08-31 21:00:00,,250936.0,,,
2025-09-01 00:00:00,598584.0,,1.6122321863354034,39.62,39.5
2025-09-01 02:45:00,,547485.0,,,
2025-09-01 08:30:00,,227665.0,,,
2025-09-01 14:15:00,,8106033.0,,,
2025-09-01 20:00:00,,6114309.0,,,
2025-09-02 00:00:00,592477.0,,1.5512578404907982,39.33,38.8
2025-09-02 01:45:00,,599226.5,,,
2025-09-02 07:30:00,,763489.5,,,
2025-09-02 13:15:00,,1543506.0,,,
2025-09-02 19:00:00,,588592.5,,,
2025-09-03 00:00:00,410973.0,,1.553846927007299,38.8,38.85
2025-09-03 00:45:00,,358927.0,,,
2025-09-03 06:30:00,,564855.0,,,
2025-09-03 12:15:00,,1669869.0,,,
2025-09-03 18:00:00,,7269224.5,,,
2025-09-03 23:45:00,,6488822.0,,,
2025-09-04 00:00:00,395001.0,,1.5226124428571424,38.85,38.48
2025-09-04 05:30:00,,1174226.0,,,
2025-09-04 11:15:00,,605221.0,,,
2025-09-04 17:00:00,,3593639.5,,,
2025-09-04 22:45:00,,2947359.5,,,
2025-09-05 00:00:00,416242.0,,1.5636690279720287,38.48,37.49
2025-09-05 04:30:00,,555412.5,,,
2025-09-05 10:15:00,,379627.0,,,
2025-09-05 16:00:00,,1467514.0,,,
2025-09-05 21:45:00,,2607592.0,,,
2025-09-06 00:00:00,440894.0,,1.514811757142857,37.49,37.76
2025-09-06 03:30:00,,599738.5,,,
2025-09-06 09:15:00,,792839.0,,,
2025-09-06 15:00:00,,1539503.0,,,
2025-09-06 20:45:00,,297805.5,,,
2025-09-07 00:00:00,586136.0,,1.5456429415584405,37.76,37.9
2025-09-07 02:30:00,,742442.0,,,
2025-09-07 08:15:00,,664571.0,,,
2025-09-07 14:00:00,,360058.0,,,
2025-09-07 19:45:00,,386398.5,,,
2025-09-08 00:00:00,567760.0,,1.5250316499999996,37.9,37.08
2025-09-08 01:30:00,,1136987.0,,,
2025-09-08 07:15:00,,679448.0,,,
2025-09-08 13:00:00,,444202.0,,,
2025-09-08 18:45:00,,487454.5,,,
2025-09-09 00:00:00,619348.0,,1.458394335329342,37.08,37.36
2025-09-09 00:30:00,,169669.0,,,
2025-09-09 06:15:00,,1840177.5,,,
2025-09-09 12:00:00,,332566.5,,,
2025-09-09 17:45:00,,1248505.0,,,
2025-09-09 23:30:00,,574450.5,,,
2025-09-10 00:00:00,643071.0,,1.526476305882353,37.36,36.95
2025-09-10 05:15:00,,820849.5,,,
2025-09-10 11:00:00,,363751.5,,,
2025-09-10 16:45:00,,3610465.5,,,
2025-09-10 22:30:00,,378841.0,,,
