timestamp,MVRV_V10,MVRV_Pct6m,ExchangeFlow_V10,OBV_Momentum,STH_SOPR,FearGreed_Normalized,Hashrate_7dMA,Hashrate_Chg30d,ActiveAddresses_7d,Puell_Multiple
2024-09-20,-0.16762440516583899,0.24166666666666667,-0.002574310645366247,-3026.917901981622,1.0411372002181976,0.54,655430413.9358064,0.07166623642217562,497767.5714285714,0.7938186441328237
2024-09-21,-0.1311875563617845,0.2604166666666667,0.0005706480004608098,670.7906368775293,1.043781925290194,0.54,649886491.9217446,-0.07335520366537096,497767.5714285714,0.7919582873915213
2024-09-22,-0.07633115055575083,0.29375,0.003664307328590127,4306.520449552452,1.0472675129452378,0.52,649886491.9217446,-0.07335520366537096,501865.28571428574,0.7901028105558233
2024-09-23,-0.12651234215651372,0.2689814814814815,0.00793354143254408,9321.291890853783,1.0429172522292562,0.5,649886491.9217446,-0.07335520366537096,501865.28571428574,0.7967417754975435
2024-09-24,0.08598835488310602,0.33796296296296297,0.011782635651642387,13839.830220564269,1.0577027964366774,0.54,649886491.9217446,-0.07335520366537096,501865.28571428574,0.7966621673333418
2024-09-25,-0.15974072169219025,0.25462962962962965,0.01459912375662247,17143.667433004826,1.03896525692481,0.59,643202391.0502821,0.16888266698343068,501865.28571428574,0.7987011121410554
2024-09-26,0.3040177593347735,0.3907407407407407,0.0155011767541483,18201.982957087923,1.0716242867784027,0.5,643202391.0502821,0.16888266698343068,498822.5714285714,0.805304504380641
2024-09-27,0.4481566246626133,0.444212962962963,0.015575373770043553,18299.890315195313,1.0805022924161438,0.61,643202391.0502821,0.16888266698343068,498822.5714285714,0.8218141140237106
2024-09-28,0.4787052246378171,0.456712962962963,0.015812684131616773,18587.516949383775,1.0811194816744811,0.64,643202391.0502821,0.16888266698343068,498822.5714285714,0.8231789254141594
2024-09-29,0.43225793087783726,0.4409722222222222,0.016039692380400837,18862.621603839798,1.0764151672126099,0.63,650287567.1558229,0.15170017667616897,498822.5714285714,0.8221602683383493
2024-09-30,-0.08787977484601019,0.29791666666666666,0.01586727705699616,18664.869869476883,1.0388158930327702,0.61,650287567.1558229,0.15170017667616897,501078.85714285716,0.80042865029116
2024-10-01,-0.6754049965619802,0.13055555555555556,0.014712744240983747,17310.499623190844,0.9970330258169128,0.5,650287567.1558229,0.15170017667616897,501078.85714285716,0.7861910125385075
2024-10-02,-0.7057117205547535,0.1284722222222222,0.012393387738302529,14579.752968847752,0.9939207070869972,0.42,650287567.1558229,0.15170017667616897,501078.85714285716,0.7660867997071663
2024-10-03,-0.6743873216231131,0.13402777777777777,0.009383394700393259,11036.087809566176,0.9946925063053477,0.37,650996205.0458424,0.34579473044802933,501078.85714285716,0.7602365657169834
2024-10-04,-0.3528568737421095,0.2125,0.005630935215134672,6622.365424383897,1.015684143835691,0.41,650996205.0458424,0.34579473044802933,502862.14285714284,0.7698750808960537
2024-10-05,-0.3567599236506697,0.21412037037037038,0.0019436409799373335,2285.933242843719,1.0143525853926223,0.49,650996205.0458424,0.34579473044802933,502862.14285714284,0.7752837779730901
2024-10-06,-0.17453489792296223,0.27662037037037035,-0.0019166493181084804,-2255.007466544863,1.0256826777504013,0.5,650996205.0458424,0.34579473044802933,502862.14285714284,0.7778617970980236
2024-10-07,-0.3121949827325698,0.22800925925925927,-0.005106398534996172,-6012.269231739221,1.0148649704007635,0.5,656175240.902694,0.06979926064166175,502862.14285714284,0.7911423094473035
2024-10-08,-0.3248449835183088,0.225,-0.0073005016028479496,-8601.741972745396,1.013021829958372,0.49,656175240.902694,0.06979926064166175,511427.5714285714,0.7801733828820142
2024-10-09,-0.6828383769896511,0.13217592592592592,-0.007898644242426296,-9308.8620125351,0.987476185124041,0.49,656175240.902694,0.06979926064166175,511427.5714285714,0.7718336881191556
2024-10-10,-0.7501332715469414,0.12638888888888888,-0.00829858988014566,-9778.840823366307,0.9818844565854385,0.39,656175240.902694,0.06979926064166175,511427.5714285714,0.755926426044808
2024-10-11,-0.21846759024553872,0.2759259259259259,-0.008385514293146481,-9880.281642705435,1.0173371214670877,0.32,666744633.8592303,0.06162233483774915,511427.5714285714,0.7682352314153535
2024-10-12,-0.05174324323166257,0.3763888888888889,-0.008016594286343921,-9447.714091562899,1.0276393216711328,0.49,666744633.8592303,0.06162233483774915,503341.28571428574,0.7849026974579824
2024-10-13,-0.12450175575569833,0.33425925925925926,-0.008079611461801047,-9523.9217776421,1.0222147696176098,0.5,666744633.8592303,0.06162233483774915,503341.28571428574,0.7820365292622898
2024-10-14,0.6598866390742554,0.6023148148148149,-0.008193207968351638,-9658.98314097547,1.0743326884772035,0.48,666744633.8592303,0.06162233483774915,503341.28571428574,0.8085441282229711
2024-10-15,0.9092384812192245,0.725462962962963,-0.008115635890758373,-9569.452202277025,1.090206733422454,0.65,670004209.453476,0.22519883745050495,503341.28571428574,0.823689395764425
2024-10-16,1.0493202873600895,0.7731481481481481,-0.007116888335664453,-8397.176336820703,1.0984547654917212,0.73,670004209.453476,0.22519883745050495,497828.28571428574,0.8404530671456344
2024-10-17,1.0100531275601243,0.7673611111111112,-0.004858129063800478,-5735.619430207647,1.094807575717697,0.71,670004209.453476,0.22519883745050495,497828.28571428574,0.8376171484634103
2024-10-18,1.262449037944773,0.9298611111111111,-0.002385281493208026,-2817.5695818031672,1.1108701860197359,0.73,670004209.453476,0.22519883745050495,497828.28571428574,0.8481123432283185
2024-10-19,1.2447962425338581,0.924074074074074,-0.0002251079211811874,-265.9494277869817,1.1098402383584631,0.72,694248029.1106237,0.35938622548526067,497828.28571428574,0.8494341772947498
2024-10-20,1.3985652990645068,0.9844907407407407,0.0025370668317487065,2997.5167841694783,1.120270274757333,0.73,694248029.1106237,0.35938622548526067,501136.85714285716,0.8516861061593345
2024-10-21,0.9901683013303892,0.7627314814814815,0.004827535391646354,5703.594934671419,1.0931068229959486,0.72,694248029.1106237,0.35938622548526067,501136.85714285716,0.8471715904767472
2024-10-22,1.002488233792204,0.7703703703703704,0.006311103973491372,7455.153092312161,1.093638747556394,0.7,694248029.1106237,0.35938622548526067,501136.85714285716,0.8370477689920963
2024-10-23,0.8202018195861528,0.6828703703703703,0.007006148234132852,8274.886159135727,1.080971451844421,0.71,702982027.2545823,0.39234296763218146,501136.85714285716,0.828249281995459
2024-10-24,1.2009751800280173,0.8921296296296296,0.007515656143177517,8875.589740133379,1.1057224080124717,0.69,702982027.2545823,0.39234296763218146,492258.71428571426,0.8400189631882055
2024-10-25,0.84201409178218,0.694675925925926,0.007680779938356657,9070.122688203119,1.0815325776552411,0.72,702982027.2545823,0.39234296763218146,492258.71428571426,0.840529015308112
2024-10-26,0.9483861445075212,0.7534722222222222,0.008045460537552064,9501.476787661202,1.0880872500239078,0.72,702982027.2545823,0.39234296763218146,492258.71428571426,0.8332398332926457
2024-10-27,1.1852578812936325,0.8729166666666667,0.008505026230969536,10044.21802189108,1.1033708640070852,0.74,715058944.6779705,0.17251170564849505,492258.71428571426,0.8388066297774797
2024-10-28,1.6774143898611422,1.0,0.009805266557277344,11581.609994569328,1.134377068532803,0.72,715058944.6779705,0.17251170564849505,495373.14285714284,0.8539916873680287
2024-10-29,2.358147826544965,0.9993055555555556,0.013774500977523627,16282.797933688154,1.1781505747599184,0.72,715058944.6779705,0.17251170564849505,495373.14285714284,0.891110776998707
2024-10-30,2.230020037625914,0.9951388888888889,0.018007284385495426,21308.880877491552,1.1701131049442786,0.77,715058944.6779705,0.17251170564849505,495373.14285714284,0.8980724189053435
2024-10-31,1.6975035833440173,0.9842592592592593,0.021342611924867635,25284.74783015251,1.135334549890235,0.77,723214209.5752469,0.24589099894266697,495373.14285714284,0.8887614440467686
2024-11-01,1.4891161991701065,0.9756944444444444,0.023688048590893036,28102.606944166124,1.1207865695344195,0.75,723214209.5752469,0.24589099894266697,495795.4285714286,0.8663434171170358
2024-11-02,1.4437302365654447,0.9662037037037037,0.025611989712685072,30436.065960884327,1.1169061297027119,0.72,723214209.5752469,0.24589099894266697,495795.4285714286,0.8644358047452713
